# =========================================== 
# Initialization time: 2023-01-13T16:30:16Z
# <module>, <HEX ID>, <timestamp>, <sensors>...
# ------------------------------------------- 
06, 66f43c, 2023-01-17T15:07:16Z, 19.19, 19.31, 19.25, 19.25, 19.25, 19.13, 19.13, 19.06
07, 894a2d, 2023-01-17T15:07:23Z, 19.25, 19.06, 18.94, 19.13, 19.25, 19.19, 19.25, 19.25
08, 554f2d, 2023-01-17T15:07:30Z, 17.06, 16.94, 16.81, 16.88, 16.94, 17.00, 16.88, 16.63
02, 50163d, 2023-01-17T15:07:47Z, 16.94, 16.88, 16.94, 17.06, 17.00, 17.00, 17.00, 16.81
03, 49da2e, 2023-01-17T15:07:54Z, 18.75, 18.63, 18.69, 18.69, 18.75, 18.63, 18.69, 18.69
04, f2f12d, 2023-01-17T15:08:01Z, 19.13, 19.25, 19.25, 19.13, 19.25, 19.25, 19.94, 19.19
05, 5bdc2e, 2023-01-17T15:08:08Z, 18.63, 18.94, 19.13, 19.38, 19.31, 19.13, 18.75, 18.63
06, 66f43c, 2023-01-17T15:08:15Z, 19.25, 19.31, 19.31, 19.25, 19.25, 19.13, 19.19, 19.13
07, 894a2d, 2023-01-17T15:08:22Z, 19.25, 19.06, 19.00, 19.19, 19.25, 19.25, 19.19, 19.25
08, 554f2d, 2023-01-17T15:08:30Z, 17.06, 16.94, 16.81, 16.94, 16.94, 17.00, 16.94, 16.63
02, 50163d, 2023-01-17T15:08:47Z, 16.94, 16.94, 16.94, 17.06, 17.00, 17.00, 16.94, 16.75
03, 49da2e, 2023-01-17T15:08:54Z, 18.81, 18.63, 18.75, 18.69, 18.75, 18.69, 18.69, 18.75
04, f2f12d, 2023-01-17T15:09:01Z, 19.13, 19.25, 19.25, 19.19, 19.25, 19.25, 20.00, 19.25
05, 5bdc2e, 2023-01-17T15:09:08Z, 18.63, 18.94, 19.19, 19.44, 19.31, 19.13, 18.75, 18.63
06, 66f43c, 2023-01-17T15:09:15Z, 19.25, 19.38, 19.31, 19.31, 19.25, 19.19, 19.19, 19.13
07, 894a2d, 2023-01-17T15:09:22Z, 19.31, 19.06, 19.00, 19.19, 19.25, 19.25, 19.25, 19.25
08, 554f2d, 2023-01-17T15:09:29Z, 17.06, 16.94, 16.81, 16.88, 16.94, 17.00, 16.88, 16.56
02, 50163d, 2023-01-17T15:09:46Z, 16.94, 16.94, 16.94, 17.06, 17.00, 17.00, 17.00, 16.75
03, 49da2e, 2023-01-17T15:09:53Z, 19.00, 18.81, 18.88, 18.88, 18.88, 18.75, 18.75, 18.81
04, f2f12d, 2023-01-17T15:10:00Z, 19.19, 19.31, 19.25, 19.19, 19.31, 19.31, 20.00, 19.25
05, 5bdc2e, 2023-01-17T15:10:07Z, 18.81, 19.06, 19.25, 19.50, 19.38, 19.25, 18.88, 18.81
06, 66f43c, 2023-01-17T15:10:14Z, 19.38, 19.56, 19.63, 19.69, 19.69, 19.56, 19.63, 19.44
07, 894a2d, 2023-01-17T15:10:22Z, 19.31, 19.13, 19.00, 19.25, 19.31, 19.25, 19.31, 19.31
08, 554f2d, 2023-01-17T15:10:29Z, 17.06, 16.94, 16.81, 16.88, 16.94, 17.00, 16.94, 16.56
02, 50163d, 2023-01-17T15:10:46Z, 16.94, 16.94, 16.94, 17.06, 17.00, 17.00, 17.00, 16.69
03, 49da2e, 2023-01-17T15:10:53Z, 20.06, 19.81, 19.75, 19.50, 19.38, 19.13, 19.13, 19.00
04, f2f12d, 2023-01-17T15:11:00Z, 19.25, 19.38, 19.38, 19.25, 19.38, 19.38, 20.13, 19.38
05, 5bdc2e, 2023-01-17T15:11:07Z, 19.13, 19.25, 19.38, 19.56, 19.44, 19.38, 19.00, 18.94
06, 66f43c, 2023-01-17T15:11:14Z, 19.63, 19.88, 19.94, 20.06, 20.19, 20.19, 20.19, 20.00
07, 894a2d, 2023-01-17T15:11:21Z, 19.38, 19.25, 19.13, 19.31, 19.44, 19.44, 19.38, 19.44
08, 554f2d, 2023-01-17T15:11:28Z, 17.06, 16.94, 16.81, 16.88, 16.94, 17.00, 16.94, 16.50
02, 50163d, 2023-01-17T15:11:45Z, 16.94, 16.94, 16.94, 17.06, 17.00, 17.00, 16.94, 16.50
03, 49da2e, 2023-01-17T15:11:52Z, 20.75, 20.50, 20.25, 19.94, 19.81, 19.50, 19.44, 19.25
04, f2f12d, 2023-01-17T15:11:59Z, 19.31, 19.44, 19.44, 19.38, 19.38, 19.50, 20.19, 19.50
05, 5bdc2e, 2023-01-17T15:12:07Z, 19.38, 19.44, 19.50, 19.69, 19.56, 19.50, 19.19, 19.13
06, 66f43c, 2023-01-17T15:12:14Z, 19.81, 20.13, 20.31, 20.44, 20.63, 20.63, 20.69, 20.44
07, 894a2d, 2023-01-17T15:12:21Z, 19.44, 19.31, 19.19, 19.44, 19.50, 19.50, 19.50, 19.63
08, 554f2d, 2023-01-17T15:12:28Z, 17.06, 16.94, 16.81, 16.94, 16.94, 17.00, 16.88, 16.31
02, 50163d, 2023-01-17T15:12:45Z, 16.94, 16.94, 17.00, 17.06, 17.00, 17.00, 16.88, 16.56
03, 49da2e, 2023-01-17T15:12:52Z, 21.00, 20.63, 20.44, 20.06, 19.94, 19.63, 19.56, 19.31
04, f2f12d, 2023-01-17T15:12:59Z, 19.31, 19.50, 19.50, 19.44, 19.50, 19.50, 20.19, 19.50
05, 5bdc2e, 2023-01-17T15:13:06Z, 19.38, 19.50, 19.63, 19.75, 19.63, 19.56, 19.25, 19.13
06, 66f43c, 2023-01-17T15:13:13Z, 19.88, 20.06, 20.19, 20.38, 20.50, 20.50, 20.56, 20.44
07, 894a2d, 2023-01-17T15:13:20Z, 19.56, 19.31, 19.19, 19.44, 19.56, 19.56, 19.56, 19.63
08, 554f2d, 2023-01-17T15:13:27Z, 17.06, 16.94, 16.81, 16.94, 16.94, 17.00, 16.88, 16.25
02, 50163d, 2023-01-17T15:13:44Z, 16.94, 16.94, 16.94, 17.06, 17.06, 17.00, 16.94, 16.44
03, 49da2e, 2023-01-17T15:13:51Z, 20.81, 20.25, 20.13, 19.81, 19.69, 19.44, 19.38, 19.25
04, f2f12d, 2023-01-17T15:13:58Z, 19.31, 19.56, 19.56, 19.50, 19.50, 19.56, 20.25, 19.50
05, 5bdc2e, 2023-01-17T15:14:06Z, 19.31, 19.44, 19.63, 19.81, 19.63, 19.56, 19.25, 19.19
06, 66f43c, 2023-01-17T15:14:13Z, 19.88, 20.06, 20.19, 20.31, 20.44, 20.44, 20.56, 20.38
07, 894a2d, 2023-01-17T15:14:20Z, 19.56, 19.44, 19.25, 19.44, 19.56, 19.56, 19.56, 19.63
08, 554f2d, 2023-01-17T15:14:27Z, 17.06, 16.94, 16.81, 16.94, 16.94, 17.00, 16.88, 16.06
02, 50163d, 2023-01-17T15:14:44Z, 16.94, 16.94, 17.00, 17.06, 17.00, 17.00, 16.94, 16.31
